value,lots,source,keep
Vire-Clesse,56,other,
Blanc de Blancs,55,other,
Coonawarra (DO NOT USE,55,other,
Francia,55,other,
Gueberschwihr,55,other,
Lombardia,55,other,
Pommard-Epenots,55,other,
Sharkstone Chardonnay,55,other,
Toscana  - Chianti,55,other,
Chianti Classico Riserva DOCG,54,other,
Hunter River,54,other,
Ribeira Sacra,54,other,
South West Western Australia,54,other,
Taurasi DOCG,54,other,
 Italia - Venezia Giulia,53,other,
Geographe,53,other,
Jamaica,53,other,
Montalcino - Brunello di Montalcino,53,other,
Umbria IGT,53,other,
ARABAKO TXAKOLINA,52,other,
Clare Valley-Adelaide Hills,52,other,
Coteaux Varois en Provence,52,other,
Ferguson Valley W.A.,52,other,
Hautes Cotes de Nuits,52,other,
Puglia IGP,52,other,
Cotes de Blaye,51,other,
Maranges,51,other,
Moscato d'Asti,51,other,
Valpolicella,51,other,
Gavi,50,other,
IGT Alta Valle della Greve,50,other,
Ladoix,50,other,
Mourvedre Barossa Valley,50,other,
Nemea,50,other,
Paarl,50,other,
South West England,50,other,
Val De Loire IGP,50,other,
 Chianti - Super Tuscan,49,other,
 Italia - Trentino Alto Adige,49,other,
Cannonau di Sardegna DOC,49,other,
Chiroubles,49,other,
Coteaux du Layon Chaume,49,other,
Flinders Ranges,49,other,
Franken,49,other,
Hunter Valley - Hilltops,49,other,
La Romanee,49,other,
Macon-Verze,49,other,
Old Vine Shiraz,49,other,
Piemonte - Langhe,49,other,
Sonoma County,49,other,
St-Peray,49,other,
Altamira,48,other,
Colchagua,48,other,
Côte de Nuits Village,48,other,
Etna Bianco DOC,48,other,
IGT,48,other,
Tenerife,48,other,
Bordeaux / Margaux,47,other,
Collio Goriziano/Collio,47,other,
Eguisheim,47,other,
Friuli-Venezia Giulia,47,other,
Grande Champagne,47,other,
Sardinia,47,other,
Catalunya,46,other,
Colli Lucchesi,46,other,
England,46,other,
IGT Toscana,46,other,
Montagny,46,other,
Provence,46,other,
Roero,46,other,
Sori Del Cascinotto,46,other,
Valpolicella Classico Superiore DOC,46,other,
 Italia - Grappa,45,other,
Chorey-les-Beaune,45,other,
McLaren Vale-Padthaway,45,other,
Monthelie-les-Duresses,45,other,
Montlouis-sur-Loire,45,other,
Okanagan Valley,45,other,
Vin De Corse,45,other,
Champagne - Gift Box,44,other,
Clos de Mon Plaisir,44,other,
Oltrepo Pavese,44,other,
Riserva,44,other,
Saint Emilion,44,other,
Vin de Pays de L'Ardeche,44,other,
Alentejo,43,other,
Bonnezeaux,43,other,
Jura,43,other,
Rocche Di Castiglione,43,other,
Bierzo DO,42,other,
Costieres de Nimes,42,other,
Coteaux Varois En Provence,42,other,
L'Extravagant de Doisy-Daene,42,other,
Loupiac,42,other,
Mixed Varieties,42,other,
Moculta-Eden Valley,42,other,
Monterey,42,other,
Rheinpfalz,42,other,
San Pablo,42,other,
Siefersheimer,42,other,
Sta Rita Hills,42,other,
Tasman Peninsula,42,other,
Vin de Pays de L'aude,42,other,
Brouilly,41,other,
Canberra-Hilltops,41,other,
Chorey-Les-Beaunes Les Beaumonts,41,other,
Jalisco,41,other,
Langenlois,41,other,
Monash Valley,41,other,
Rosso di Montepulciano,41,other,
delle Venezia IGT,41,other,
 Italia - Metodo Classico,40,other,
Bordeaux / Pomerol,40,other,
Haut Médoc,40,other,
Moorabool,40,other,
Sweden,40,other,
Valle del Rapel,40,other,
Vendange Tardive Riesling,40,other,
Costeries de Nimes,39,other,
Distillati,39,other,
Julienas,39,other,
Luzern,39,other,
Ravenna Rosso IGT,39,other,
Ripasso della Valpolicella DOC,39,other,
Valpolicella Ripasso Classico Superiore Ca del Laito,39,other,
Carneros,38,other,
Cote de Beaune,38,other,
Lower Murray,38,other,
Salento IGT,38,other,
Savennieres-Roch-Aux-Moines,38,other,
South West France,38,other,
Valle Central,38,other,
Cairanne,37,other,
Médoc,37,other,
Patagonia,37,other,
Sanlucar de Barrameda,37,other,
Sicilia ,37,other,
Sicilia IGP,37,other,
Spagna - Brandy,37,other,
Trentino/Alto-Adige,37,other,
Carillon D'Angelus,36,other,
Colli Tortonesi,36,other,
Coonawarra-Wrattonbully,36,other,
Coteaux-du-Languedoc,36,other,
Echuca,36,other,
Healesville,36,other,
Isonzo DOC Rive Alte,36,other,
Vaucluse IGP,36,other,
 Italia - Langhe,35,other,
Anjou-Villages,35,other,
Brauneberg (Juffer),35,other,
Hemel-En-Aade Valley,35,other,
Umbria - Sagrantino di Montefalco,35,other,
Vermentino di Sardegna DOC,35,other,
 Italia - Campania,34,other,
Alicante,34,other,
Barossa Ranges,34,other,
Barossa Valley-Langhorne Creek,34,other,
Blanc,34,other,
Bordeaux superieur,34,other,
Colchagua Chile,34,other,
Irlanda - Whisky,34,other,
Limestone Coast - Langhorne Creek,34,other,
Mclaren Vale-Fleurieu,34,other,
Nessuno,34,other,
Ritme,34,other,
Rivesaltes,34,other,
Salento Rosso IGT,34,other,
Salice Salentino,34,other,
St-Chinian,34,other,
 Italia - Umbria,33,other,
Argentina,33,other,
Bolgheri Superiore DOC,33,other,
Clos des Hospices Dans Les Clos,33,other,
Eden-Barossa Valley,33,other,
Grave del Friuli,33,other,
Marsala DOC,33,other,
Osterreich,33,other,
Rylstone,33,other,
Valtellina,33,other,
Whisky,33,other,
 Italia - Denominazioni varie,32,other,
 Italia - Valtellina,32,other,
Bernkastel,32,other,
Biggenden,32,other,
Ch-Grillet,32,other,
Colchagua  Chile,32,other,
Coonawarra-Margaret River,32,other,
IGP Collines Rhodaniennes,32,other,
McLaren,32,other,
Nebbiolo Langhe,32,other,
South Burnett,32,other,
Toscana / Chianti,32,other,
Toskana,32,other,
Vino Rosso Toscana,32,other,
 Italia - Sicilia,31,other,
Barossa Valley-Great Western,31,other,
Cienega Valley,31,other,
Cremant de Bourgogne,31,other,
Drei-Seen-Land / Neuchâtel,31,other,
Fine Champagne Cognac,31,other,
Hunter Valley-Mudgee,31,other,
Niederosterreich,31,other,
Pessac-Léo,31,other,
San Gimignano,31,other,
Santa Rita Hills,31,other,
Sardegna,31,other,
Slovenia,31,other,
Tavel,31,other,
Treviso,31,other,
holds 12 bottles,31,other,
 Italia,30,other,
 Italia - Lombardia,30,other,
Barolo Marenca,30,other,
Frankland River-Margaret River,30,other,
Languedoc-Roussillon / Languedoc,30,other,
Magill,30,other,
Meursault-Santenots,30,other,
Moulin-A-Vent,30,other,
Rennina,30,other,
Riquewihr Alsace,30,other,
Saint-Amour,30,other,
Toscana  - Nobile di Montepulciano,30,other,
Bouzy,29,other,
Puglia IGT,29,other,
Rocche di Castiglione Barolo,29,other,
Upper Yarra Valley,29,other,
Valpolicello Classico Superiore,29,other,
Wrattonbully-Coonawarra,29,other,
 Italia - Barbera,28,other,
 Italia - Brandy,28,other,
 Italia - Distillati,28,other,
 Italia - Franciacorta,28,other,
Carnasciale,28,other,
Dundee Hills,28,other,
Genf,28,other,
Giamaica - Rum,28,other,
Haut-Rhin,28,other,
Hunter Valley-Langhorne Creek,28,other,
Les Aromes de Pavie(second wine by Pavie),28,other,
Les Beatines Rouge,28,other,
Marlborough/Hawkes Bay,28,other,
Methode Traditionnelle,28,other,
Petite Champagne,28,other,
Prosecco,28,other,
Puente Alto,28,other,
Roero Arneis,28,other,
Scozia - Distillati,28,other,
St-Veran,28,other,
The Lakeland Gin,28,other,
Trebbiano d'Abruzzo,28,other,
Unlabelled,28,other,
Big Rivers,27,other,
Bourgueil,27,other,
Chianti Rufina,27,other,
Coastal Region,27,other,
Delle Venezie IGT,27,other,
Francia - Distillati,27,other,
Heathcote DO NOT USE THIS CODE (use code:CLLPS),27,other,
Holland,27,other,
Hungary,27,other,
Isola dei Nuraghi IGT,27,other,
Macon-Uchizy,27,other,
Niagra,27,other,
Old Matured (Hermitage) Shiraz,27,other,
Santa Ynez Valley,27,other,
Savigny,27,other,
Vintage Brut Champagne,27,other,
 Champagne - Champagne,26,other,
 Italia - Vini Dolci,26,other,
Arbois Pupillin,26,other,
Bourgogne Hautes-Cotes de Nuits,26,other,
Canada,26,other,
Cataluña / Priorat,26,other,
Colchagua Valley,26,other,
Colline Lucchesi DOC,26,other,
Corton-Perrieres,26,other,
Moselle,26,other,
Murrumbidgee,26,other,
Netherlands,26,other,
Otway Hinterland,26,other,
Piemonte - Chardonnay,26,other,
Rioja DOCa,26,other,
Sugarille,26,other,
Tumbarumba-Margaret River,26,other,
37% ABV Bundaberg,25,other,
Ahr,25,other,
Chateau 'R' Dry White,25,other,
Coteaux d'Aix en Provence,25,other,
Coteaux de Peyriac,25,other,
Dao,25,other,
Delle Venezie DOC,25,other,
Denmark Western Australia,25,other,
Extremadura,25,other,
Paraje Altamira,25,other,
Petit-Chablis,25,other,
Pfaffenheim,25,other,
Riesling Trocken Vom Blauen Schiefer,25,other,
South East Australia,25,other,
Taburno Bianco,25,other,
Valdepenas,25,other,
Verona,25,other,
Vintage Port,25,other,
 Italia - Piemonte,24,other,
 Italia - Veneto,24,other,
4 Bottle Set,24,other,
Bourgogne Pinot Noir Antonin,24,other,
Bündner Herrschaft,24,other,
Cote d'Or,24,other,
Cotes de Duras,24,other,
Cotes du Tricastin,24,other,
Graubünden,24,other,
Hunter Valley-Rutherglen,24,other,
Late Disgorged Sparkling Shiraz,24,other,
Les Grands Blancs Extra-Brut,24,other,
Maremma Toscana IGT,24,other,
Mendocino,24,other,
Nelson - South Island,24,other,
R de Rieussec Blanc Sec,24,other,
Single Malt Whisky,24,other,
Sonoma Valley,24,other,
Toscana / Brunello di Montalcino,24,other,
Yarra Valley-Victoria,24,other,
Corton-Vergennes,23,other,
Coteaux Bourguignons,23,other,
Hunter Valley-Orange,23,other,
Mittelburgenland,23,other,
Montlouis,23,other,
North West Victoria,23,other,
Rachis Syrah,23,other,
Rosso del Veronese,23,other,
Rubicone IGT,23,other,
Vin Santo Del Chianti,23,other,
Vin Santo Del Chianti Classico,23,other,
Yunnan Province,23,other,
40% ABV Scotland,22,other,
Amarone della Valpolicella Classico,22,other,
Barolo Ravera,22,other,
Cataluña,22,other,
China,22,other,
Coteaux Champenois,22,other,
ETNA Rosso DOC,22,other,
Emilia-Romagna,22,other,
Francia - Denominazioni varie,22,other,
Francia - Loira,22,other,
Hunter Valley-Adelaide Hills,22,other,
Jane Anson,22,other,
Kalimna-Eden Valley,22,other,
