value,lots,source,keep
Nuit-Saint-Georges Les Saints Georges 1er Cru,1,other,
"Pauiilac, 5ème Grand Cru Classé",1,other,
"Pauillac, 2éme Grand Cru Classé",1,other,
"Pauillac, 5ème Grand Cru",1,other,
"Pauillac, 5ème Grand Cru Classé DB",1,other,
"Pauillac,1er Grand Cru Classé",1,other,
"Paulliac, 5ème Grand Cru Classe",1,other,
"Pessac-Léognan, 1er Granmd Cru Classé",1,other,
Riesling Marienburg 1er Fahrlay-Terrassen,1,other,
Riesling Marienburg 1er Raffes Mosel-Saar-Ruwer,1,other,
Sables Saint-Émilion Grand Cru,1,other,
"Saint Estèphe, Cru Bourgeois",1,other,
"Saint Julien, 3ème Grand Cru Classé",1,other,
"Saint-Estèphe, 3eme Grand Cru Classé",1,other,
"Saint-Estèphe, Cru Bourgeois Supérieur",1,other,
Saint-Julien 2eme Grand Cru,1,other,
"Saint-Julien, 5ème Grand Cru Classé",1,other,
"Saint-Julien,, 2ème Grand Cru Classé",1,other,
"Saint-Èmilion, 1er Grand Cru Classé A",1,other,
Saint-Émilion Grand Cru Classé A,1,other,
"Saint-Émilion Grand Cru, 2nd wine Ch. L'Angélus",1,other,
"Saint-Émilion Grand Cru, 2nd wine of Ch. Cheval-Blanc",1,other,
"Saint-Émilion, 1er Gran Cru Classé B",1,other,
"Saint-Émilion, 1er Grand Cru Classe B",1,other,
"Saint-Émilion, 1er Grand Cru Classé ""A""",1,other,
"Saint-Émilion, 1er Grand cru Classé A",1,other,
"Saint-Émilion, Grand Cru Classe",1,other,
Saint-Émilion. 1er Grand Cru Classé A,1,other,
"Saint-Émlion, Grand Cru Classé",1,other,
"Saint-Émìlion, 1er Grand Cru Classé A",1,other,
"Saint-Éstephe, 2ème Grand Cru",1,other,
"Saurternes, 1er Grand Cru Supérieur",1,other,
"Sauterner, 1er Cru Supérieur",1,other,
"Sauternes, 1er Grand Cru  Supérieur",1,other,
"Sauternes, Premier Cru Supérieur",1,other,
cru bourgeois (1),1,other,
cru bourgeois (7),1,other,
cru bourgeois (8),1,other,
cru bourgeois (Thunevin),1,other,
cru bourgeois exceptionell,1,other,
cru bourgeois supérieur (3),1,other,
grand cru (Domaines Lafite Rothschild),1,other,
grand cru (J. L. Thunevin),1,other,
grand cru (blanc),1,other,
grand cru Classé,1,other,
grand cru classé (3),1,other,
grand cru classé (4),1,other,
grand cru classé (A),1,other,
grand cru classé (Niv. HS),1,other,
grand cru exceptional  W.J. Seabrook bottling,1,other,
