value,lots,source,keep
Marchesi Antinori S.p.A.,32,other,
Pierre Labet,32,other,
René Lequin-Colin,32,other,
"Spottswoode Family, Saint Helena",32,other,
Stag's Leap Wine Cellars,32,other,
Taupenot-Merme,32,other,
Taylor,32,other,
Vieux Telegraphe (H. Brunier),32,other,
Vignobles Levet,32,other,
Bottled in 2009,31,other,
Bottled in 2013,31,other,
"Christian Mouiex - Dominus Estate, Napa Valley",31,other,
Château Rauzan Ségla (Rausan Ségla),31,other,
Château d'Issan,31,other,
Côtes de Bergerac,31,other,
"Domaine Gros Frère et Soeur, Vosne-Romanée",31,other,
"Domaine J.F. Coche-Dury, Meursault",31,other,
"Domaine Jean Tardy, Vosne-Romanée",31,other,
"Domaine Taupenot-Merme, Morey-Saint-Denis",31,other,
"Domaine de Montbourgeau, L'Étoile",31,other,
"E. Pira & Figli, Barolo",31,other,
"Hospices de Beaune, Pierre André",31,other,
Hudelot-Noëllat,31,other,
Jacques Carillon,31,other,
Jean & Sébastien Dauvissat,31,other,
Jean Chartron,31,other,
"Joseph & Philippe Roty, Nuits St. Georges",31,other,
Michel Magnien,31,other,
Nicolas Faure,31,other,
Pierre Gaillard,31,other,
Rotem & Mounir Saouma,31,other,
"Saint-Julien, 2nd wine Ch. Lagrange",31,other,
"Scotland, Speyside",31,other,
"Tenute di Nozzole, Greve in Chianti",31,other,
Vietti,31,other,
"Vincent Dauvissat, Chablis",31,other,
"Virgile Lignier-Michelot, Morey-Saint-Denis",31,other,
Aldo Conterno,30,other,
"Antoine Sunier, Régnié-Durette",30,other,
Benjamin Leroux,30,other,
Bernard Bonin,30,other,
Bernard Morey,30,other,
Ch. Cheval Blanc,30,other,
Chateau Leoville Barton,30,other,
"Domaine Anne Gros, Vosne-Romanée",30,other,
"Domaine Georges Roumier, Chambolle-Musigny",30,other,
Domaine Pierre Usseglio,30,other,
"Domaine Roy, Fontenay-près-Chablis",30,other,
Domaine Trapet,30,other,
Drouhin-Vaudon,30,other,
"Egon Müller zu Scharzhof, Le Galais, Kanzem",30,other,
"Fattoria Poggio di Sotto, Montalcino",30,other,
François Feuillet,30,other,
G. B. Burlotto,30,other,
"Gérard Boulay, Chavignol",30,other,
Henri et Gilles Buisson,30,other,
Lamy Pillot,30,other,
Lécheneaut,30,other,
"Margaux, 2nd wine Ch. Giscours",30,other,
Mas Martinet,30,other,
"Michele Chiarlo, Calamandrana",30,other,
Mondavi/Rothschild,30,other,
Paul Avril,30,other,
Stéphane Magnien,30,other,
Antoine Lienhardt,29,other,
Bottled 2000,29,other,
Cercle Lynch-Bages,29,other,
Chateau La Mission Haut-Brion,29,other,
Château Barde Haut,29,other,
Château la Dominique,29,other,
"Domaine Bernard Defaix, Chablis",29,other,
"Domaine Bernard Moreau et Fils, Mancey",29,other,
"Domaine Michel Lafarge, Volnay",29,other,
"Domaine Olivier Bernstein, Beaune",29,other,
Domaine de Chevalier,29,other,
Domaine de la Mordorée,29,other,
Domaine de la Passion Haut-Brion,29,other,
Domaine de la Vougeraie,29,other,
